Parcela,Cantidad,Porcentaje
2,21,3.0346820809248554
14,20,2.8901734104046244
20,20,2.8901734104046244
22,18,2.601156069364162
9,18,2.601156069364162
15,18,2.601156069364162
11,18,2.601156069364162
8,18,2.601156069364162
21,16,2.312138728323699
18,16,2.312138728323699
16,16,2.312138728323699
6,16,2.312138728323699
DESCONOCIDO,16,2.312138728323699
24,16,2.312138728323699
12,15,2.167630057803468
3,14,2.023121387283237
7,13,1.8786127167630058
19,13,1.8786127167630058
13,13,1.8786127167630058
25,12,1.7341040462427744
5,12,1.7341040462427744
17,12,1.7341040462427744
28,10,1.4450867052023122
10,10,1.4450867052023122
1,10,1.4450867052023122
29,9,1.300578034682081
26,8,1.1560693641618496
32,8,1.1560693641618496
23,8,1.1560693641618496
4,7,1.0115606936416186
31,7,1.0115606936416186
38,6,0.8670520231213872
34,6,0.8670520231213872
37,5,0.7225433526011561
1a,5,0.7225433526011561
2a,5,0.7225433526011561
30,5,0.7225433526011561
1c,4,0.5780346820809248
0,4,0.5780346820809248
42,4,0.5780346820809248
27,4,0.5780346820809248
40,4,0.5780346820809248
1e,3,0.4335260115606936
6a,3,0.4335260115606936
33,3,0.4335260115606936
39,3,0.4335260115606936
29a,3,0.4335260115606936
12a,3,0.4335260115606936
13a,3,0.4335260115606936
35,3,0.4335260115606936
1b,3,0.4335260115606936
10a,2,0.2890173410404624
43,2,0.2890173410404624
16A,2,0.2890173410404624
4A,2,0.2890173410404624
33a,2,0.2890173410404624
15B,2,0.2890173410404624
11a,2,0.2890173410404624
14a,2,0.2890173410404624
21a,2,0.2890173410404624
41,2,0.2890173410404624
23B,2,0.2890173410404624
23a,2,0.2890173410404624
19C,2,0.2890173410404624
18a,2,0.2890173410404624
36,2,0.2890173410404624
28a,2,0.2890173410404624
1B,2,0.2890173410404624
29c,2,0.2890173410404624
012AyB,1,0.1445086705202312
009/010,1,0.1445086705202312
018C,1,0.1445086705202312
009A,1,0.1445086705202312
009a,1,0.1445086705202312
009c,1,0.1445086705202312
012A,1,0.1445086705202312
12/13,1,0.1445086705202312
012b,1,0.1445086705202312
014A,1,0.1445086705202312
014b,1,0.1445086705202312
005C,1,0.1445086705202312
12h/13a,1,0.1445086705202312
13b,1,0.1445086705202312
25a,1,0.1445086705202312
1y,1,0.1445086705202312
006B,1,0.1445086705202312
002e,1,0.1445086705202312
005A,1,0.1445086705202312
004A,1,0.1445086705202312
20a,1,0.1445086705202312
10C,1,0.1445086705202312
10c,1,0.1445086705202312
10d,1,0.1445086705202312
10g,1,0.1445086705202312
11/12/21,1,0.1445086705202312
11B,1,0.1445086705202312
11C,1,0.1445086705202312
023A,1,0.1445086705202312
019C,1,0.1445086705202312
2A/3,1,0.1445086705202312
006J,1,0.1445086705202312
0000M,1,0.1445086705202312
001B,1,0.1445086705202312
002a,1,0.1445086705202312
20B,1,0.1445086705202312
1C/1F,1,0.1445086705202312
21B,1,0.1445086705202312
15A,1,0.1445086705202312
15a,1,0.1445086705202312
15d,1,0.1445086705202312
16-,1,0.1445086705202312
16C,1,0.1445086705202312
16a/21a,1,0.1445086705202312
171,1,0.1445086705202312
17E,1,0.1445086705202312
17d,1,0.1445086705202312
18A,1,0.1445086705202312
18g,1,0.1445086705202312
19a,1,0.1445086705202312
1C,1,0.1445086705202312
022a,1,0.1445086705202312
1E,1,0.1445086705202312
1F,1,0.1445086705202312
15K,1,0.1445086705202312
1X,1,0.1445086705202312
22/23,1,0.1445086705202312
1f,1,0.1445086705202312
22B,1,0.1445086705202312
22a,1,0.1445086705202312
24A,1,0.1445086705202312
25b,1,0.1445086705202312
14o,1,0.1445086705202312
25e,1,0.1445086705202312
26/27,1,0.1445086705202312
26a,1,0.1445086705202312
28A,1,0.1445086705202312
28F,1,0.1445086705202312
28b,1,0.1445086705202312
29A,1,0.1445086705202312
29d,1,0.1445086705202312
1h,1,0.1445086705202312
1g,1,0.1445086705202312
10B,1,0.1445086705202312
3K,1,0.1445086705202312
100,1,0.1445086705202312
78,1,0.1445086705202312
31A,1,0.1445086705202312
9B,1,0.1445086705202312
9C,1,0.1445086705202312
30A,1,0.1445086705202312
9H,1,0.1445086705202312
9c,1,0.1445086705202312
9d,1,0.1445086705202312
9e,1,0.1445086705202312
B,1,0.1445086705202312
2o,1,0.1445086705202312
2l,1,0.1445086705202312
33b,1,0.1445086705202312
6B,1,0.1445086705202312
6e,1,0.1445086705202312
6b,1,0.1445086705202312
9A,1,0.1445086705202312
31a,1,0.1445086705202312
1/2/3a,1,0.1445086705202312
9/10,1,0.1445086705202312
8/9/10/15,1,0.1445086705202312
8a,1,0.1445086705202312
32A,1,0.1445086705202312
32C,1,0.1445086705202312
8A15,1,0.1445086705202312
8A,1,0.1445086705202312
44,1,0.1445086705202312
31b,1,0.1445086705202312
7f,1,0.1445086705202312
7c,1,0.1445086705202312
7a,1,0.1445086705202312
7B,1,0.1445086705202312
33C,1,0.1445086705202312
79,1,0.1445086705202312
8b,1,0.1445086705202312
44B,1,0.1445086705202312
45,1,0.1445086705202312
47,1,0.1445086705202312
4/5/6,1,0.1445086705202312
61,1,0.1445086705202312
34b,1,0.1445086705202312
34a,1,0.1445086705202312
2e/2f,1,0.1445086705202312
-33,1,0.1445086705202312
24b,1,0.1445086705202312
2F,1,0.1445086705202312
10/11,1,0.1445086705202312
024/025,1,0.1445086705202312
024a,1,0.1445086705202312
025A,1,0.1445086705202312
028/029,1,0.1445086705202312
037a,1,0.1445086705202312
03A,1,0.1445086705202312
04B-5A,1,0.1445086705202312
5d,1,0.1445086705202312
5c,1,0.1445086705202312
35a,1,0.1445086705202312
38b,1,0.1445086705202312
49,1,0.1445086705202312
3a,1,0.1445086705202312
4a,1,0.1445086705202312
4f,1,0.1445086705202312
3C,1,0.1445086705202312
5/16/6a,1,0.1445086705202312
5/6A/6B,1,0.1445086705202312
35b,1,0.1445086705202312
52,1,0.1445086705202312
36a,1,0.1445086705202312
55,1,0.1445086705202312
59,1,0.1445086705202312
5A,1,0.1445086705202312
5a,1,0.1445086705202312
F,1,0.1445086705202312
